name,slug, children born/woman,date_of_information,ranking,region
"Niger","niger","6.73","2023",1,"Africa"
"Angola","angola","5.76","2023",2,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","5.56","2023",3,"Africa"
"Mali","mali","5.45","2023",4,"Africa"
"Benin","benin","5.39","2023",5,"Africa"
"Chad","chad","5.35","2023",6,"Africa"
"Uganda","uganda","5.26","2023",7,"Africa"
"Somalia","somalia","5.22","2023",8,"Africa"
"South Sudan","south-sudan","5.2","2023",9,"Africa"
"Burundi","burundi","4.96","2023",10,"Africa"
"Guinea","guinea","4.82","2023",11,"Africa"
"Mozambique","mozambique","4.74","2023",12,"Africa"
"Guinea-Bissau","guinea-bissau","4.65","2023",13,"Africa"
"Nigeria","nigeria","4.57","2023",14,"Africa"
"Sudan","sudan","4.54","2023",15,"Africa"
"Afghanistan","afghanistan","4.53","2023",16,"South Asia"
"Cameroon","cameroon","4.5","2023",17,"Africa"
"Zambia","zambia","4.49","2023",18,"Africa"
"Tanzania","tanzania","4.33","2023",19,"Africa"
"Equatorial Guinea","equatorial-guinea","4.19","2023",20,"Africa"
"Togo","togo","4.18","2023",21,"Africa"
"Senegal","senegal","4.17","2023",22,"Africa"
"Burkina Faso","burkina-faso","4.14","2023",23,"Africa"
"Timor-Leste","timor-leste","4.09","2023",24,"East and Southeast Asia"
"Liberia","liberia","4.03","2023",25,"Africa"
"Central African Republic","central-african-republic","3.99","2023",26,"Africa"
"Ethiopia","ethiopia","3.92","2023",27,"Africa"
"Congo, Republic of the","congo-republic-of-the","3.86","2023",28,"Africa"
"Papua New Guinea","papua-new-guinea","3.85","2023",29,"East and Southeast Asia"
"Sierra Leone","sierra-leone","3.71","2023",30,"Africa"
"Gambia, The","gambia-the","3.66","2023",31,"Africa"
"Ghana","ghana","3.61","2023",32,"Africa"
"Tajikistan","tajikistan","3.6","2023",33,"Central Asia"
"Madagascar","madagascar","3.55","2023",34,"Africa"
"West Bank","west-bank","3.54","2023",35,"Middle East"
"Zimbabwe","zimbabwe","3.51","2023",36,"Africa"
"Eritrea","eritrea","3.5","2023",37,"Africa"
"Cote d'Ivoire","cote-divoire","3.47","2023",38,"Africa"
"Mauritania","mauritania","3.46","2023",39,"Africa"
"Sao Tome and Principe","sao-tome-and-principe","3.44","2023",40,"Africa"
"Pakistan","pakistan","3.39","2023",41,"South Asia"
"Gaza Strip","gaza-strip","3.38","2023",42,"Middle East"
"Malawi","malawi","3.3","2023",43,"Africa"
"Gabon","gabon","3.26","2023",44,"Africa"
"Rwanda","rwanda","3.23","2023",45,"Africa"
"Kenya","kenya","3.23","2023",46,"Africa"
"Iraq","iraq","3.17","2023",47,"Middle East"
"Libya","libya","3.04","2023",48,"Africa"
"Algeria","algeria","2.97","2023",49,"Africa"
"Namibia","namibia","2.94","2023",50,"Africa"
"Israel","israel","2.94","2023",51,"Middle East"
"Uzbekistan","uzbekistan","2.92","2023",52,"Central Asia"
"Jordan","jordan","2.91","2023",53,"Middle East"
"Yemen","yemen","2.91","2023",54,"Middle East"
"Lesotho","lesotho","2.88","2023",55,"Africa"
"Solomon Islands","solomon-islands","2.82","2023",56,"Australia and Oceania"
"Tuvalu","tuvalu","2.81","2023",57,"Australia and Oceania"
"Philippines","philippines","2.77","2023",58,"East and Southeast Asia"
"Egypt","egypt","2.76","2023",59,"Africa"
"Guam","guam","2.76","2023",60,"Australia and Oceania"
"Syria","syria","2.74","2023",61,"Middle East"
"Marshall Islands","marshall-islands","2.72","2023",62,"Australia and Oceania"
"Tonga","tonga","2.7","2023",63,"Australia and Oceania"
"Comoros","comoros","2.69","2023",64,"Africa"
"Oman","oman","2.67","2023",65,"Middle East"
"Vanuatu","vanuatu","2.59","2023",66,"Australia and Oceania"
"Northern Mariana Islands","northern-mariana-islands","2.59","2023",67,"Australia and Oceania"
"Kazakhstan","kazakhstan","2.59","2023",68,"Central Asia"
"Nauru","nauru","2.58","2023",69,"Australia and Oceania"
"Guatemala","guatemala","2.57","2023",70,"Central America and the Caribbean"
"Haiti","haiti","2.49","2023",71,"Central America and the Caribbean"
"Kyrgyzstan","kyrgyzstan","2.47","2023",72,"Central Asia"
"Eswatini","eswatini","2.41","2023",73,"Africa"
"Panama","panama","2.37","2023",74,"Central America and the Caribbean"
"Honduras","honduras","2.37","2023",75,"Central America and the Caribbean"
"Botswana","botswana","2.37","2023",76,"Africa"
"Samoa","samoa","2.37","2023",77,"Australia and Oceania"
"South Africa","south-africa","2.31","2023",78,"Africa"
"Laos","laos","2.3","2023",79,"East and Southeast Asia"
"Faroe Islands","faroe-islands","2.28","2023",80,"Europe"
"Morocco","morocco","2.27","2023",81,"Africa"
"Bolivia","bolivia","2.26","2023",82,"South America"
"Ecuador","ecuador","2.24","2023",83,"South America"
"Fiji","fiji","2.23","2023",84,"Australia and Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","2.22","2023",85,"Australia and Oceania"
"Kuwait","kuwait","2.22","2023",86,"Middle East"
"Venezuela","venezuela","2.2","2023",87,"South America"
"Cambodia","cambodia","2.2","2023",88,"East and Southeast Asia"
"Peru","peru","2.18","2023",89,"South America"
"Kiribati","kiribati","2.18","2023",90,"Australia and Oceania"
"Argentina","argentina","2.17","2023",91,"South America"
"Sri Lanka","sri-lanka","2.14","2023",92,"South Asia"
"Djibouti","djibouti","2.13","2023",93,"Africa"
"Dominican Republic","dominican-republic","2.13","2023",94,"Central America and the Caribbean"
"American Samoa","american-samoa","2.13","2023",95,"Australia and Oceania"
"Cabo Verde","cabo-verde","2.11","2023",96,"Africa"
"Belize","belize","2.08","2023",97,"Central America and the Caribbean"
"Bangladesh","bangladesh","2.08","2023",98,"South Asia"
"India","india","2.07","2023",99,"South Asia"
"Guyana","guyana","2.06","2023",100,"South America"
"Jamaica","jamaica","2.05","2023",101,"Central America and the Caribbean"
"Vietnam","vietnam","2.04","2023",102,"East and Southeast Asia"
"Cook Islands","cook-islands","2.04","2023",103,"Australia and Oceania"
"El Salvador","el-salvador","2.04","2023",104,"Central America and the Caribbean"
"Turkmenistan","turkmenistan","2.03","2023",105,"Central Asia"
"Dominica","dominica","2.01","2023",106,"Central America and the Caribbean"
"Burma","burma","2","2023",107,"East and Southeast Asia"
"Indonesia","indonesia","1.99","2023",108,"East and Southeast Asia"
"Sint Maarten","sint-maarten","1.98","2023",109,"Central America and the Caribbean"
"Virgin Islands","virgin-islands","1.98","2023",110,"Central America and the Caribbean"
"Curacao","curacao","1.97","2023",111,"Central America and the Caribbean"
"Georgia","georgia","1.96","2023",112,"Middle East"
"Tunisia","tunisia","1.96","2023",113,"Africa"
"Iceland","iceland","1.95","2023",114,"Europe"
"Antigua and Barbuda","antigua-and-barbuda","1.94","2023",115,"Central America and the Caribbean"
"Colombia","colombia","1.94","2023",116,"South America"
"Grenada","grenada","1.92","2023",117,"Central America and the Caribbean"
"Iran","iran","1.92","2023",118,"Middle East"
"Suriname","suriname","1.91","2023",119,"South America"
"Turkey (Turkiye)","turkey-turkiye","1.91","2023",120,"Middle East"
"Greenland","greenland","1.9","2023",121,"North America"
"Qatar","qatar","1.9","2023",122,"Middle East"
"France","france","1.9","2023",123,"Europe"
"Gibraltar","gibraltar","1.9","2023",124,"Europe"
"Mongolia","mongolia","1.89","2023",125,"East and Southeast Asia"
"Bermuda","bermuda","1.89","2023",126,"North America"
"Saudi Arabia","saudi-arabia","1.89","2023",127,"Middle East"
"Paraguay","paraguay","1.88","2023",128,"South America"
"Isle of Man","isle-of-man","1.88","2023",129,"Europe"
"Kosovo","kosovo","1.88","2023",130,"Europe"
"Nepal","nepal","1.88","2023",131,"South Asia"
"New Zealand","new-zealand","1.86","2023",132,"Australia and Oceania"
"Nicaragua","nicaragua","1.85","2023",133,"Central America and the Caribbean"
"United States","united-states","1.84","2023",134,"North America"
"New Caledonia","new-caledonia","1.84","2023",135,"Australia and Oceania"
"Cayman Islands","cayman-islands","1.82","2023",136,"Central America and the Caribbean"
"Korea, North","korea-north","1.82","2023",137,"East and Southeast Asia"
"Aruba","aruba","1.82","2023",138,"Central America and the Caribbean"
"Seychelles","seychelles","1.81","2023",139,"Africa"
"Montenegro","montenegro","1.81","2023",140,"Europe"
"Saint Martin","saint-martin","1.8","2023",141,"Central America and the Caribbean"
"French Polynesia","french-polynesia","1.8","2023",142,"Australia and Oceania"
"Belgium","belgium","1.77","2023",143,"Europe"
"Bhutan","bhutan","1.77","2023",144,"South Asia"
"Denmark","denmark","1.77","2023",145,"Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","1.76","2023",146,"Central America and the Caribbean"
"Chile","chile","1.75","2023",147,"South America"
"Brazil","brazil","1.75","2023",148,"South America"
"Uruguay","uruguay","1.75","2023",149,"South America"
"Brunei","brunei","1.74","2023",150,"East and Southeast Asia"
"Czechia","czechia","1.74","2023",151,"Europe"
"Finland","finland","1.74","2023",152,"Europe"
"Malaysia","malaysia","1.74","2023",153,"East and Southeast Asia"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","1.74","2023",154,"Central America and the Caribbean"
"Australia","australia","1.73","2023",155,"Australia and Oceania"
"Mexico","mexico","1.73","2023",156,"North America"
"Anguilla","anguilla","1.72","2023",157,"Central America and the Caribbean"
"Saint Lucia","saint-lucia","1.72","2023",158,"Central America and the Caribbean"
"Ireland","ireland","1.72","2023",159,"Europe"
"Lebanon","lebanon","1.71","2023",160,"Middle East"
"Wallis and Futuna","wallis-and-futuna","1.71","2023",161,"Australia and Oceania"
"Cuba","cuba","1.71","2023",162,"Central America and the Caribbean"
"Barbados","barbados","1.7","2023",163,"Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","1.7","2023",164,"Central America and the Caribbean"
"Maldives","maldives","1.7","2023",165,"South Asia"
"Palau","palau","1.7","2023",166,"Australia and Oceania"
"Azerbaijan","azerbaijan","1.69","2023",167,"Middle East"
"Liechtenstein","liechtenstein","1.69","2023",168,"Europe"
"Sweden","sweden","1.67","2023",169,"Europe"
"Jersey","jersey","1.66","2023",170,"Europe"
"Bahrain","bahrain","1.66","2023",171,"Middle East"
"Armenia","armenia","1.65","2023",172,"Middle East"
"Saint Barthelemy","saint-barthelemy","1.64","2023",173,"Central America and the Caribbean"
"Trinidad and Tobago","trinidad-and-tobago","1.63","2023",174,"Central America and the Caribbean"
"Luxembourg","luxembourg","1.63","2023",175,"Europe"
"Romania","romania","1.63","2023",176,"Europe"
"United Kingdom","united-kingdom","1.63","2023",177,"Europe"
"Estonia","estonia","1.62","2023",178,"Europe"
"United Arab Emirates","united-arab-emirates","1.62","2023",179,"Middle East"
"Netherlands","netherlands","1.61","2023",180,"Europe"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","1.61","2023",181,"Africa"
"Lithuania","lithuania","1.61","2023",182,"Europe"
"Slovakia","slovakia","1.6","2023",183,"Europe"
"Slovenia","slovenia","1.6","2023",184,"Europe"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","1.59","2023",185,"North America"
"Switzerland","switzerland","1.59","2023",186,"Europe"
"Guernsey","guernsey","1.59","2023",187,"Europe"
"Hungary","hungary","1.59","2023",188,"Europe"
"Germany","germany","1.58","2023",189,"Europe"
"Canada","canada","1.57","2023",190,"North America"
"Norway","norway","1.57","2023",191,"Europe"
"Latvia","latvia","1.55","2023",192,"Europe"
"Albania","albania","1.55","2023",193,"Europe"
"Thailand","thailand","1.54","2023",194,"East and Southeast Asia"
"San Marino","san-marino","1.53","2023",195,"Europe"
"Monaco","monaco","1.53","2023",196,"Europe"
"North Macedonia","north-macedonia","1.52","2023",197,"Europe"
"Malta","malta","1.51","2023",198,"Europe"
"Russia","russia","1.51","2023",199,"Central Asia"
"Austria","austria","1.51","2023",200,"Europe"
"Bulgaria","bulgaria","1.51","2023",201,"Europe"
"Cyprus","cyprus","1.48","2023",202,"Europe"
"Serbia","serbia","1.46","2023",203,"Europe"
"Croatia","croatia","1.46","2023",204,"Europe"
"Andorra","andorra","1.46","2023",205,"Europe"
"China","china","1.45","2023",206,"East and Southeast Asia"
"Belarus","belarus","1.45","2023",207,"Europe"
"Portugal","portugal","1.44","2023",208,"Europe"
"Bahamas, The","bahamas-the","1.44","2023",209,"Central America and the Caribbean"
"Greece","greece","1.4","2023",210,"Europe"
"Costa Rica","costa-rica","1.4","2023",211,"Central America and the Caribbean"
"Japan","japan","1.39","2023",212,"East and Southeast Asia"
"British Virgin Islands","british-virgin-islands","1.37","2023",213,"Central America and the Caribbean"
"Bosnia and Herzegovina","bosnia-and-herzegovina","1.37","2023",214,"Europe"
"Mauritius","mauritius","1.35","2023",215,"Africa"
"Montserrat","montserrat","1.32","2023",216,"Central America and the Caribbean"
"Poland","poland","1.31","2023",217,"Europe"
"Spain","spain","1.29","2023",218,"Europe"
"Puerto Rico","puerto-rico","1.25","2023",219,"Central America and the Caribbean"
"Moldova","moldova","1.25","2023",220,"Europe"
"Italy","italy","1.24","2023",221,"Europe"
"Macau","macau","1.23","2023",222,"East and Southeast Asia"
"Hong Kong","hong-kong","1.23","2023",223,"East and Southeast Asia"
"Ukraine","ukraine","1.22","2023",224,"Europe"
"Singapore","singapore","1.17","2023",225,"East and Southeast Asia"
"Korea, South","korea-south","1.11","2023",226,"East and Southeast Asia"
"Taiwan","taiwan","1.09","2023",227,"East and Southeast Asia"